year,x,sex,dx,ex,lx,mx,qx
1980,79,male,3072.1,5.8,26961.5,0.120826,0.113943
1980,80,female,3439.6,7.28,44662.1,0.080097,0.077013
1980,80,male,2922.3,5.48,23889.4,0.130296,0.122326
1980,81,female,3312.8,6.84,41222.6,0.083728,0.080363
1980,81,male,2745.9,5.18,20967.1,0.140138,0.130962
1980,82,female,3561.7,6.39,37909.8,0.098583,0.093952
1980,82,male,2655.6,4.88,18221.2,0.1572,0.145745
1980,83,female,3500.7,6.01,34348.1,0.107392,0.101919
1980,83,male,2440.6,4.63,15565.6,0.17013,0.156793
1980,84,female,3451.2,5.63,30847.4,0.118511,0.111881
1980,84,male,2181.4,4.4,13125,0.181263,0.1662
1980,85,female,3474,5.28,27396.1,0.135389,0.126805
1980,85,male,2010.8,4.17,10943.6,0.202333,0.183744
1980,86,female,3396.2,4.97,23922.2,0.152817,0.14197
1980,86,male,1594.5,4,8932.8,0.19599,0.178498
1980,87,female,2901.4,4.71,20525.9,0.152105,0.141355
1980,87,male,1566.2,3.76,7338.3,0.238921,0.213425
1980,88,female,2784.7,4.4,17624.5,0.171556,0.158003
1980,88,male,1263.1,3.65,5772.1,0.245714,0.21883
1980,89,female,2224.2,4.14,14839.8,0.162023,0.149881
1980,89,male,864.2,3.53,4509,0.211986,0.19167
1980,90,female,2467.3,3.78,12615.6,0.21677,0.195573
1980,90,male,904.7,3.24,3644.8,0.283401,0.248227
1980,91,female,1951.5,3.57,10148.3,0.212756,0.192299
1980,91,male,693.9,3.15,2740,0.289982,0.253262
1980,92,female,1718.8,3.31,8196.8,0.234252,0.209692
1980,92,male,523.5,3.05,2046.1,0.293399,0.255864
1980,93,female,1560.3,3.05,6478,0.273832,0.240855
1980,93,male,350,2.93,1522.6,0.25974,0.229885
1980,94,female,1253.9,2.86,4917.7,0.292232,0.254976
1980,94,male,338.2,2.65,1172.6,0.337017,0.288416
1980,95,female,1118.2,2.67,3663.8,0.360146,0.30519
1980,95,male,279.7,2.52,834.4,0.402778,0.33526
1980,96,female,708.2,2.62,2545.7,0.323155,0.278204
1980,96,male,183.9,2.54,554.6,0.397436,0.331551
1980,97,female,608.6,2.44,1837.5,0.396947,0.33121
1980,97,male,98.5,2.56,370.7,0.306452,0.265734
1980,98,female,340.3,2.4,1228.9,0.321429,0.276923
1980,98,male,102.6,2.3,272.2,0.464286,0.376812
1980,99,female,306.9,2.13,888.6,0.417476,0.345382
1980,99,male,56.5,2.39,169.6,0.4,0.333333
1980,100,female,199.6,1.99,581.7,0.414286,0.343195
1980,100,male,45.2,2.34,113.1,0.5,0.4
1981,0,female,1021.6,75.44,100000,0.010268,0.010216
1981,0,male,1230.2,69.12,100000,0.012378,0.012302
1981,1,female,69.8,75.21,98978.4,7.06e-4,7.06e-4
1981,1,male,66.5,68.98,98769.8,6.74e-4,6.73e-4
1981,2,female,38.3,74.27,98908.6,3.87e-4,3.87e-4
1981,2,male,50.7,68.02,98703.3,5.14e-4,5.14e-4
1981,3,female,16.9,73.29,98870.3,1.71e-4,1.71e-4
1981,3,male,55.2,67.06,98652.6,5.6e-4,5.6e-4
1981,4,female,20.7,72.31,98853.4,2.09e-4,2.09e-4
1981,4,male,45.4,66.1,98597.3,4.61e-4,4.61e-4
1981,5,female,25.3,71.32,98832.7,2.56e-4,2.56e-4
1981,5,male,44.5,65.13,98551.9,4.52e-4,4.51e-4
1981,6,female,21.6,70.34,98807.4,2.18e-4,2.18e-4
1981,6,male,38.2,64.15,98507.4,3.88e-4,3.88e-4
1981,7,female,18.1,69.36,98785.9,1.83e-4,1.83e-4
1981,7,male,14.3,63.18,98469.2,1.45e-4,1.45e-4
1981,8,female,16.9,68.37,98767.8,1.71e-4,1.71e-4
1981,8,male,18.5,62.19,98454.9,1.88e-4,1.88e-4
