label,sex,decade,mean_ch_e0
Slovakia,male,1990s,0.2039999999999992
Slovakia,male,2000s,0.2540000000000006
Slovakia,male,2010s,0.29625000000000057
Slovenia,female,1990s,0.20300000000000012
Slovenia,female,2000s,0.3010000000000005
Slovenia,female,2010s,0.1750000000000007
Slovenia,male,1990s,0.24900000000000092
Slovenia,male,2000s,0.4019999999999996
Slovenia,male,2010s,0.2912499999999998
Spain,female,1990s,0.19399999999999978
Spain,female,2000s,0.2210000000000008
Spain,female,2010s,0.16285714285714295
Spain,male,1990s,0.19899999999999948
Spain,male,2000s,0.31400000000000006
Spain,male,2010s,0.23857142857142882
Sweden,female,1990s,0.13299999999999984
Sweden,female,2000s,0.14399999999999977
Sweden,female,2010s,0.09875000000000078
Sweden,male,1990s,0.2289999999999992
Sweden,male,2000s,0.22700000000000103
Sweden,male,2010s,0.17375000000000007
Switzerland,female,1990s,0.15400000000000064
Switzerland,female,2000s,0.17099999999999937
Switzerland,female,2010s,0.1499999999999996
Switzerland,male,1990s,0.2719999999999999
Switzerland,male,2000s,0.2849999999999994
Switzerland,male,2010s,0.27142857142857224
Taiwan,female,1990s,0.21600000000000108
Taiwan,female,2000s,0.3349999999999994
Taiwan,female,2010s,0.16999999999999887
Taiwan,male,1990s,0.1730000000000004
Taiwan,male,2000s,0.29199999999999876
Taiwan,male,2010s,0.1380000000000024
Ukraine,female,1990s,-0.15799999999999984
Ukraine,female,2000s,0.12399999999999949
Ukraine,female,2010s,0.33750000000000213
Ukraine,male,1990s,-0.3519999999999996
Ukraine,male,2000s,0.1739999999999995
Ukraine,male,2010s,0.490000000000002
United Kingdom,female,1990s,0.16800000000000068
United Kingdom,female,2000s,0.24399999999999977
United Kingdom,female,2010s,0.09142857142857151
United Kingdom,male,1990s,0.22900000000000062
United Kingdom,male,2000s,0.31599999999999967
United Kingdom,male,2010s,0.1642857142857151
USA,female,1990s,0.07899999999999921
USA,female,2000s,0.16500000000000056
USA,female,2010s,0.04749999999999943
USA,male,1990s,0.23200000000000073
USA,male,2000s,0.21700000000000016
USA,male,2010s,0.02874999999999872
