country,year,sex,e0,label,include,ch_e0
USA,1990,male,71.85,USA,1,0.25
AUS,1991,female,80.49,Australia,1,0.3399999999999892
AUT,1991,female,78.98,Austria,1,0.10999999999999943
BEL,1991,female,79.47,Belgium,1,0.14000000000000057
BGR,1991,female,74.51,Bulgaria,1,-0.29999999999999716
BLR,1991,female,75.45,Belarus,1,-0.3400000000000034
CAN,1991,female,80.73,Canada,1,0.10000000000000853
CHE,1991,female,81.09,Switzerland,1,0.38000000000000966
CZE,1991,female,75.75,Czechia,1,0.3499999999999943
DEUTNP,1991,female,78.69,Germany,1,0.269999999999996
DNK,1991,female,77.98,Denmark,1,0.25
ESP,1991,female,80.75,Spain,1,0.18999999999999773
EST,1991,female,74.97,Estonia,1,0.060000000000002274
FIN,1991,female,79.32,Finland,1,0.4399999999999977
FRATNP,1991,female,81.17,France,1,0.20000000000000284
GRC,1991,female,79.86,Greece,1,0.23000000000000398
HUN,1991,female,73.97,Hungary,1,0.18999999999999773
IRL,1991,female,77.9,Ireland,1,0.18000000000000682
ISL,1991,female,81.15,Iceland,1,0.6200000000000045
ISR,1991,female,78.67,Israel,1,-0.12000000000000455
ITA,1991,female,80.3,Italy,1,0.04999999999999716
JPN,1991,female,82.17,Japan,1,0.29999999999999716
LTU,1991,female,75.81,Lithuania,1,-0.3400000000000034
LUX,1991,female,78.86,Luxembourg,1,0.6299999999999955
LVA,1991,female,74.49,Latvia,1,-0.020000000000010232
NLD,1991,female,80.14,Netherlands,1,0.04999999999999716
NOR,1991,female,80.09,Norway,1,0.29000000000000625
NZL_NP,1991,female,78.85,New Zealand,1,0.4899999999999949
POL,1991,female,75.11,Poland,1,-0.1700000000000017
PRT,1991,female,77.9,Portugal,1,0.10000000000000853
RUS,1991,female,74.23,Russia,1,-0.0799999999999983
SVK,1991,female,75.26,Slovakia,1,-0.11999999999999034
SVN,1991,female,77.38,Slovenia,1,-0.3100000000000023
SWE,1991,female,80.54,Sweden,1,0.14000000000000057
TWN,1991,female,77.15,Taiwan,1,0.4200000000000017
UKR,1991,female,74.32,Ukraine,1,-0.5800000000000125
GBR_NP,1991,female,78.61,United Kingdom,1,0.10999999999999943
USA,1991,female,78.97,USA,1,0.12000000000000455
AUS,1991,male,74.49,Australia,1,0.5099999999999909
AUT,1991,male,72.26,Austria,1,0.030000000000001137
BEL,1991,male,72.85,Belgium,1,0.14999999999999147
BGR,1991,male,68.09,Bulgaria,1,0.010000000000005116
BLR,1991,male,65.5,Belarus,1,-0.7399999999999949
CAN,1991,male,74.44,Canada,1,0.20999999999999375
CHE,1991,male,74.11,Switzerland,1,0.1599999999999966
CZE,1991,male,68.23,Czechia,1,0.7000000000000028
DEUTNP,1991,male,72.09,Germany,1,0.18000000000000682
DNK,1991,male,72.47,Denmark,1,0.45000000000000284
ESP,1991,male,73.51,Spain,1,0.0799999999999983
EST,1991,male,64.47,Estonia,1,-0.23000000000000398
FIN,1991,male,71.33,Finland,1,0.39000000000000057
FRATNP,1991,male,72.88,France,1,0.1599999999999966
GRC,1991,male,74.66,Greece,1,0
HUN,1991,male,65.11,Hungary,1,-0.04000000000000625
IRL,1991,male,72.29,Ireland,1,0.18000000000000682
ISL,1991,male,74.85,Iceland,1,-0.5100000000000051
ISR,1991,male,75.14,Israel,1,-0.1700000000000017
ITA,1991,male,73.59,Italy,1,-0.03999999999999204
JPN,1991,male,76.16,Japan,1,0.20999999999999375
LTU,1991,male,65.13,Lithuania,1,-1.2600000000000051
LUX,1991,male,71.93,Luxembourg,1,-0.35999999999999943
LVA,1991,male,63.68,Latvia,1,-0.44999999999999574
NLD,1991,male,74.05,Netherlands,1,0.23000000000000398
NOR,1991,male,74.02,Norway,1,0.5699999999999932
NZL_NP,1991,male,73.26,New Zealand,1,0.7800000000000011
POL,1991,male,65.87,Poland,1,-0.37999999999999545
PRT,1991,male,70.58,Portugal,1,-0.18999999999999773
RUS,1991,male,63.41,Russia,1,-0.3500000000000014
SVK,1991,male,66.78,Slovakia,1,0.2600000000000051
SVN,1991,male,69.43,Slovenia,1,-0.3299999999999983
SWE,1991,male,74.95,Sweden,1,0.14000000000000057
TWN,1991,male,71.89,Taiwan,1,0.45000000000000284
UKR,1991,male,64.62,Ukraine,1,-0.9799999999999898
GBR_NP,1991,male,73.08,United Kingdom,1,0.23999999999999488
USA,1991,male,72.03,USA,1,0.18000000000000682
AUS,1992,female,80.48,Australia,1,-0.009999999999990905
AUT,1992,female,79.14,Austria,1,0.1599999999999966
BEL,1992,female,79.67,Belgium,1,0.20000000000000284
BGR,1992,female,74.78,Bulgaria,1,0.269999999999996
BLR,1992,female,75.34,Belarus,1,-0.10999999999999943
CAN,1992,female,80.98,Canada,1,0.25
CHE,1992,female,81.33,Switzerland,1,0.23999999999999488
CZE,1992,female,76.18,Czechia,1,0.4300000000000068
DEUTNP,1992,female,79.14,Germany,1,0.45000000000000284
DNK,1992,female,77.97,Denmark,1,-0.010000000000005116
ESP,1992,female,81.26,Spain,1,0.5100000000000051
EST,1992,female,74.77,Estonia,1,-0.20000000000000284
FIN,1992,female,79.44,Finland,1,0.12000000000000455
FRATNP,1992,female,81.46,France,1,0.28999999999999204
GRC,1992,female,79.77,Greece,1,-0.09000000000000341
HUN,1992,female,73.94,Hungary,1,-0.030000000000001137
IRL,1992,female,78.29,Ireland,1,0.39000000000000057
ISL,1992,female,80.72,Iceland,1,-0.4300000000000068
ISR,1992,female,78.65,Israel,1,-0.01999999999999602
ITA,1992,female,80.66,Italy,1,0.35999999999999943
JPN,1992,female,82.3,Japan,1,0.12999999999999545
LTU,1992,female,75.87,Lithuania,1,0.060000000000002274
LUX,1992,female,78.22,Luxembourg,1,-0.6400000000000006
LVA,1992,female,74.3,Latvia,1,-0.18999999999999773
NLD,1992,female,80.28,Netherlands,1,0.14000000000000057
NOR,1992,female,80.35,Norway,1,0.2599999999999909
NZL_NP,1992,female,79.3,New Zealand,1,0.45000000000000284
POL,1992,female,75.53,Poland,1,0.4200000000000017
PRT,1992,female,78.59,Portugal,1,0.6899999999999977
RUS,1992,female,73.7,Russia,1,-0.5300000000000011
SVK,1992,female,75.86,Slovakia,1,0.5999999999999943
SVN,1992,female,77.47,Slovenia,1,0.09000000000000341
SWE,1992,female,80.78,Sweden,1,0.23999999999999488
TWN,1992,female,77.13,Taiwan,1,-0.020000000000010232
UKR,1992,female,74.03,Ukraine,1,-0.28999999999999204
GBR_NP,1992,female,78.96,United Kingdom,1,0.3499999999999943
USA,1992,female,79.18,USA,1,0.21000000000000796
AUS,1992,male,74.5,Australia,1,0.010000000000005116
AUT,1992,male,72.5,Austria,1,0.23999999999999488
BEL,1992,male,72.97,Belgium,1,0.12000000000000455
BGR,1992,male,67.84,Bulgaria,1,-0.25
BLR,1992,male,64.9,Belarus,1,-0.5999999999999943
CAN,1992,male,74.69,Canada,1,0.25
CHE,1992,male,74.45,Switzerland,1,0.3400000000000034
CZE,1992,male,68.52,Czechia,1,0.28999999999999204
DEUTNP,1992,male,72.53,Germany,1,0.4399999999999977
DNK,1992,male,72.56,Denmark,1,0.09000000000000341
ESP,1992,male,73.91,Spain,1,0.3999999999999915
EST,1992,male,63.51,Estonia,1,-0.9600000000000009
FIN,1992,male,71.67,Finland,1,0.3400000000000034
FRATNP,1992,male,73.15,France,1,0.27000000000001023
GRC,1992,male,74.62,Greece,1,-0.03999999999999204
HUN,1992,male,64.66,Hungary,1,-0.45000000000000284
IRL,1992,male,72.68,Ireland,1,0.39000000000000057
ISL,1992,male,76.71,Iceland,1,1.8599999999999994
ISR,1992,male,74.89,Israel,1,-0.25
ITA,1992,male,73.97,Italy,1,0.37999999999999545
JPN,1992,male,76.14,Japan,1,-0.01999999999999602
